dish_name,dish_category
"1RUB.Вода Аква Минерале с газом 0,5л",Напитки
Дюшес б/л XL 1л,Напитки
Пиво Жатецкий Гусь Черный банка,Напитки
Воппер Родео BBQ Двойной,Бургер
"Пепси Макс б/л  мал 0,4",Напитки
Острые Луковые Кольца 12Шт,Закуски
"Мандарин б/л большой 0,8",Напитки
Up Острый Ангус Шеф,Бургер
"lim.Липтон Грин большой 0,8",Напитки
Up Кинг Гоу Деревенский,Закуски
Up Малиновый Шейк станд,Напитки
"Up Фрустайл Лимон Лайм в бутылке 0,5л",Напитки
"Пепси Кола  мал 0,4",Напитки
Up Острый Двойной Воппер С Сыром,Бургер
Up Острый Картофель Деревенский Стандартный,Закуски
"Up Севен Ап б/л большой 0,8",Напитки
Up Острый Двойной Воппер,Бургер
Воппер Родео BBQ с Беконом,Бургер
"Кола стандарт 0,5",Напитки
1RUB.Кинг Фри мал,Закуски
"Up Фрустайл Лимон Лайм мал 0,4",Напитки
"Кола мал 0,4",Напитки
Острый Кинг Букет «Креветки»,Закуски
1RUB.Карт. Деревен. джун,Закуски
"lim.Липтон Лимон большой 0,8",Напитки
МИКС МАСТЕР «Сметана и Лук» Фри M,Закуски
Up Фиш Бургер,Бургер
Сок  Апельсиновый,Напитки
Up Острый Ангус Шеф Двойной,Бургер
1RUB.Чикенбургер новый,Бургер
1RUB.Цезарь ролл со стрипсами,Ролл
"Пепси Макс б/л стандарт 0,5",Напитки
"Up Байкал б/л  стандарт 0,5",Напитки
Кинг Гоу Креветки,Закуски
Up Острый Чикен Чизбургер New,Бургер
Лимонад б/л XL 1л,Напитки
Up Острый Чеддер Начос Кинг Двойной,Бургер
Up Острый Воппер С Сыром,Бургер
"Байкал стандарт 0,5",Напитки
"lim.Эвервесс Кола большой 0,8",Напитки
"Up Фрустайл Апельсин мал 0,4",Напитки
"1RUB.Эвервесс Блэк Роял стандарт 0,5",Напитки
Игрушка,Дополнительно
Сбер.Капучино (МАЛ.),Напитки
МИКС МАСТЕР «Сметана и Лук» Фри S,Закуски
Up Острые Сырные Медальоны 9шт,Закуски
Up Острый Картофель Деревенский Станд,Закуски
Кинг Попкорн Солёненький,Бургер
"Up Дюшес стандарт 0,5",Напитки
Up Стрипсы (12 шт.),Закуски
Острый Кинг Букет Стрипсы Микс,Закуски
Up Сырные Медальоны (12 шт.),Закуски
Сбер.Чизбургер,Бургер
Up Стрипсы (9 шт.),Закуски
Up Латте Пряная Тыква (МАЛ.),Напитки
"Кола без сахара большой 0,8",Напитки
Up Острый Гранд Чиз Двойной,Бургер
"1RUB.Липтон Грин стандарт 0,5",Напитки
Воппер Родео BBQ Острый,Бургер
Up Острый Тройной Воппер,Бургер
"lim.Эвервесс Блэк Роял большой 0,8",Напитки
"Байкал мал 0,4",Напитки
Up Айс Твист Шоколадный,Десерт
"Байкал джун 0,3л",Напитки
Up Острые Наггетсы 6 шт,Закуски
Пепси Кола джун,Напитки
Т3.АНГУС Шеф new,Бургер
Up Острый Гранд Чиз Фреш Двойной,Бургер
МИКС МАСТЕР «Сметана и Лук» Фри L,Закуски
"Пепси Дикая Мята в бутылке 0,5л",Напитки
Up Острый Картофель Деревенский Малый,Закуски
"lim.Фрустайл Апельсин стандарт 0,5",Напитки
Up Итальяно Кинг Двойной,Бургер
"Пепси Кола стандарт 0,5",Напитки
"Up Миринда б/л большой 0,8",Напитки
Up Острый Беконайзер,Бургер
Up Капучино Пряная Тыква (БОЛ.),Напитки
Up Чеддер Начос Шримп Ролл,Ролл
Up Клубничный шейк (станд.),Напитки
"Энергет.нап. Адреналин Раш 0,25л",Напитки
Up Острый Чеддер Начос Чикен Ролл,Ролл
"Up Фрустайл Лимон Лайм стандарт 0,5",Напитки
"Острый Кинг Букет ""Снек-Микс""",прочее
"lim.Фрустайл Апельсин мал 0,4",Напитки
Мандарин б/л  XL 1л,Напитки
Up Айс Твист Клубничный,Десерт
"Лимонад мал 0,4",Напитки
"1RUB.Липтон Лимон стандарт 0,5",Напитки
"Кола большой 0,8",Напитки
Up Шоколадный шейк (станд.),Напитки
Up Острый Кинг Фри Станд,Закуски
"Мандарин джун 0,3л",Напитки
"Up Миринда б/л мал 0,4",Напитки
"Эвервесс Лемон-Лайм большой 0,8",Напитки
Up Ванильный шейк (станд.),Напитки
Up Латте Пряная Тыква (БОЛ.),Напитки
Т3.Ангус Пармеджано,Бургер
"Up Фрустайл Апельсин стандарт 0,5",Напитки
"Кола джун 0,3л",Напитки
Up Луковые Кольца (12 шт.),Закуски
"Острый Кинг Букет ""Креветки Xxl""",Закуски
1RUB.Гранд Чиз,Бургер
А4 СТУДИЯ (НДС 20%),Дополнительно
"Эвервесс Апельсин большой 0,8",Напитки
"1RUB.Эвервесс Апельсин стандарт 0,5",Напитки
Up Ангус 4 Сыра Двойной,Бургер
Игрушка Mattel,Дополнительно
GIFT.Гамбургер,Бургер
Up Карт. Деревен. Станд,Закуски
"Up Пепси Кола мал 0,4",Напитки
"1RUB.Эвервесс Лемон-Лайм стандарт 0,5",Напитки
"lim.Фрустайл Лимон Лайм стандарт 0,5",Напитки
Up Мясной Ролл,Ролл
Up Пирожок с малиной,Десерт
Up Сырные медальоны (6 шт.),Закуски
Up Воппер ролл,Ролл
"Пепси Черри дж 0,3 (б\л)",Напитки
"Пепси Черри б/л  мал 0,4",Напитки
Up Горячий Брауни,Десерт
Up Острые Стрипсы 3 шт,Закуски
Антисептик Армасепт Гель,Дополнительно
"Мандарин мал 0,4",Напитки
"Лимонад стандарт 0,5",Напитки
Острый Инди Пармезан,Бургер
Острые Стрипсы 9Шт,Закуски
"Up Эвервесс Лимон-Лайм мал 0,4",Напитки
МИКС МАСТЕР «Перчик Чили» Фри M,Закуски
Up Чеддер Начос Чикен Ролл,Ролл
"lim.Фрустайл Лимон Лайм мал 0,4",Напитки
Up Острый Чеддер Начос Кинг С Курицей,Бургер
МИКС МАСТЕР «Сметана и Лук» Деревенский S,Закуски
"Up Лимонад б/л мал 0,4",Напитки
"Севен Ап б/л большой 0,8",Напитки
Капучино на Миндальной основе (СТАНД.),Напитки
"Up Эвервесс Блэк Роял большой 0,8",Напитки
"Up Эвервесс Апельсин стандарт 0,5",Напитки
МИКС МАСТЕР «Перчик Чили» Фри S,Закуски
ДОГПЕР,Дополнительно
МИКС МАСТЕР «Сметана и Лук» Деревенский L,Закуски
Севен Ап б/л  XL 1л,Напитки
"Пепси Манго б/л большой 0,8",Напитки
Мистери Тильзитер Кинг,Бургер
"Мандарин стандарт 0,5",Напитки
Острый Ролл Индейка Пармезан,Ролл
"Up Пепси Макс б/л большой 0,8",Напитки
Пепси Манго б/л  XL 1л,Напитки
1RUB.Двойной Чизбургер,Бургер
Сок Фр.сад Яблочный,Напитки
"Up Пепси Макс б/л мал 0,4",Напитки
"Up Эвервесс Лемон-Лайм стандарт 0,5",Напитки
"lim.Фрустайл Апельсин большой 0,8",Напитки
Up Острый Чеддер Начос Шримп Ролл,Ролл
Капучино на Миндальной основе (МАЛ.),Напитки
Латте на Миндальной основе (МАЛ.),Напитки
Up Острые Креветки 12шт,Закуски
Up Эвервесс Кола б/л  XL 1л,Напитки
Острый Кинг Букет «Стрипсы Xl»,Закуски
"Байкал большой 0,8",Напитки
МИКС МАСТЕР «Перчик Чили» Фри L,Закуски
Up Луковые кольца (3 шт.),Закуски
Up Ролл Индейка Пармезан,Ролл
Пиво Туборг банка,Напитки
Воппер Сырный с беконом,Бургер
Острые Стрипсы 12Шт,Закуски
Эвервесс Кола XL 1л,Напитки
"Пепси Кола большой 0,8",Напитки
Байкал XL 1л,Напитки
Up Воппер Сырный с беконом,Бургер
Т.Ангус Пармеджано,Бургер
"Up Эвервесс Лемон-Лайм мал 0,4",Напитки
Латте на Миндальной основе(СТАНД.),Напитки
МИКС МАСТЕР «Сметана и Лук» Деревенский M,Закуски
"Миринда б/л большой 0,8",Напитки
Up Креветки (3 шт.),Закуски
Т3.АНГУС Шеф Двойной new,Бургер
Миринда б/л  XL 1л,Напитки
Мороженое Твикс,Десерт
"lim.Дюшес стандарт 0,5",Напитки
Сок Фр. сад  Апельсин,Напитки
"Up Эвервесс Лимон-Лайм стандарт 0,5",Напитки
Up Воппер Родео BBQ,Бургер
Up Карт. Деревен. Мал,Закуски
Up Капучино на Миндальной основе (БОЛ.),Напитки
"lim.Дюшес мал 0,4",Напитки
Капучино на Миндальной основе (БОЛ.),Напитки
"Малиновый Шейк 0,5",Напитки
Up Инди Пармезан,Бургер
"lim.Фрустайл Апельсин джун 0,3л",Напитки
Up Кинг Конверт,Бургер
Up Эвервесс Блэк Роял б/л  XL 1л,Напитки
"Up Кола без сахара мал 0,4",Напитки
Т.АНГУС Шеф new,Бургер
"Пепси Черри б/л стандарт 0,5",Напитки
Т3.Ангус Пармеджано Двойной,Бургер
Миринда Оранж джун,Напитки
Up Острый Фиш Ролл,Ролл
Т3.Острый Ангус Шеф,Бургер
Up Луковые кольца (6 шт.),Закуски
Up Эвервесс Апельсин б/л  XL 1л,Напитки
Up Острый Ангус Пармеджано,Бургер
"lim.Фрустайл Лимон Лайм джун 0,3л",Напитки
Up Острый Фиш Бургер,Бургер
"lim.Дюшес большой 0,8",Напитки
"Лимонад большой 0,8",Напитки
"1RUB.Кола стандарт 0,5",Напитки
"Миринда мал 0,4",Напитки
"Мандарин большой 0,8",Напитки
"Пепси Манго мал 0,4",Напитки
"lim.Фрустайл Лимон Лайм большой 0,8",Напитки
"lim.Кола без сахара стандарт 0,5",Напитки
Капучино (БОЛ.) с сиропом,Напитки
"Up Пепси Черри б/л мал 0,4",Напитки
Up Капучино на Миндальной основе (СТАНД.),Напитки
Латте на Миндальной основе (БОЛ.),Напитки
Up Острый Кинг Фри Мал,Закуски
Сандэй Сникерс с арахисом,Десерт
Up Латте на Миндальной основе(СТАНД.),Напитки
Сухарики Lava Lava,прочее
"Пепси Макс б/л большой 0,8",Напитки
МИКС МАСТЕР «Перчик Чили» Деревенский M,Закуски
"Up Байкал мал 0,4",Напитки
Up Латте на Миндальной основе (БОЛ.),Напитки
"Малиновый Шейк 0,3",Напитки
Сухарики Lava Lava НДС 20%,прочее
Up Кинг Попкорн Солёненький,Бургер
МИКС МАСТЕР «Перчик Чили» Деревенский S,Закуски
"Up Кола без сахара большой 0,8",Напитки
"Up Мандарин б/л мал 0,4",Напитки
"Шоколадный Шейк 0,5",Напитки
"lim.Дюшес джун 0,3л",Напитки
Дюшес XL 1л,Напитки
Up Чикен Конверт,Ролл
Up МИКС МАСТЕР «Сметана и Лук» Фри M,Закуски
Up  Острый Тильзитер Кинг,Бургер
"Пепси Манго стандарт 0,5",Напитки
Up МИКС МАСТЕР «Сметана и Лук» Фри S,Закуски
Up МИКС МАСТЕР «Сметана и Лук» Деревенский S,Закуски
Up Острый Инди Пармезан,Бургер
"Ванильный Шейк 0,3",Напитки
Латте (БОЛ.) с сиропом,Напитки
"Энергет.нап. Адреналин Раш 0,449л",Напитки
МИКС МАСТЕР «Перчик Чили» Деревенский L,Закуски
Т3.Острый Ангус Пармеджано,Бургер
Up Соус Барбекю,Соус
"1RUB.Мандарин стандарт 0,5",Напитки
"Up Липтон Грин  мал 0,4",Напитки
"Up Пепси Черри б/л большой 0,8",Напитки
Up Тильзитер Кинг с курицей,Бургер
Up Острый Тильзитер Кинг с курицей,Бургер
"Up Капучино стандартный 0,3 л",Напитки
Шоколадный батончик Snickers Stick,Десерт
Пепси Кола XL 1л,Напитки
Up Острые Наггетсы 3 Шт,Закуски
Латте (СТАНД.) с сиропом,Напитки
Up Острые Наггетсы 9Шт,Закуски
Шримп Ролл Джуниор,Ролл
"Клубничный Шейк 0,3",Напитки
"Up Ванильный Шейк 0,3",Напитки
"Ванильный Шейк 0,5",Напитки
Т.АНГУС Шеф Двойной new,Бургер
"Up Фрустайл Апельсин большой 0,8",Напитки
Up Горячий брауни,Десерт
Эвервесс Апельсин XL 1л,Напитки
Мандарин XL 1л,Напитки
Мороженое Сникерс с арахисом,Десерт
"1RUB.Дюшес стандарт 0,5",Напитки
"Up Кола б/л большой 0,8",Напитки
Т.Острый Ангус Шеф,Бургер
Пирожок Шоколадно-Малиновый Чизкейк,Десерт
"Шоколадный Шейк 0,3",Напитки
"Up Эвервесс Лемон-Лайм большой 0,8",Напитки
Эвервесс Лемон-Лайм XL 1л,Напитки
Up Острый Ролл Индейка Пармезан,Ролл
Up  Острый Тильзитер Ролл,Ролл
Сбер.Пирожок с вишней,Десерт
"Миринда стандарт 0,5",Напитки
1RUB.Чипсы/сухарики Lay’s сметана и зелень,прочее
Up Воппер джуниор,Бургер
Up МИКС МАСТЕР «Перчик Чили» Деревенский S,Закуски
Up МИКС МАСТЕР «Сметана и Лук» Деревенский L,Закуски
"Up Кола без сахара стандарт 0,5",Напитки
Сбер.Капучино (СТАНД.) за 1руб,Напитки
"Пепси Манго большой 0,8",Напитки
"Up Пепси Черри в бутылке 0,5л",Напитки
Up Балтика №0 БезПивоное Светлое,Напитки
Пепси Макс б/л  XL 1л,Напитки
Up Ангус Камамбер,Бургер
Острый Ангус Шеф Двойной,Бургер
Сырники с брусничным соусом,Десерт
Up Пирожок Шоколадно-Малиновый Чизке,Десерт
"Up Клубничный Шейк 0,3",Напитки
Капучино (СТАНД.) с сиропом,Напитки
Up МИКС МАСТЕР «Перчик Чили» Деревенский M,Закуски
Up Улитка с корицей,Десерт
"Up Кола мал 0,4",Напитки
Up МИКС МАСТЕР «Перчик Чили» Фри M,Закуски
Миндальный Капучино (СТАНД.),Напитки
Up Острый Ангус Пармеджано Двойной,Бургер
"Клубничный Шейк 0,5",Напитки
Up Ангус Пармеджано,Бургер
Острый Двойной Чизбургер,Бургер
"Up Эвервесс Апельсин большой 0,8",Напитки
Эвервесс Блэк Роял XL 1л,Напитки
Up Тильзитер Кинг,Бургер
Up АНГУС Шеф new,Бургер
"Up Ванильный Шейк 0,5",Напитки
Миндальный Латте (БОЛ.),Напитки
Up МИКС МАСТЕР «Сметана и Лук» Деревенский M,Закуски
"Up Мандарин мал 0,4",Напитки
"Пепси Манго джун 0,3л",Напитки
Миринда XL 1л,Напитки
"Севен Ап  мал 0,4",Напитки
Up Острый Тильзитер Кинг Двойной,Бургер
Up Острые Сырные Медальоны 6 Шт,Закуски
Up Тильзитер Кинг Двойной,Бургер
"Пепси Черри б/л большой 0,8",Напитки
Up Острый Шримп Пармезан Ролл,Ролл
Миндальный Латте (СТАНД.),Напитки
Up Латте на Миндальной основе (МАЛ.),Напитки
Севен Ап джун,Напитки
SALE.Сыр Блю Чиз (крошка) 1гр,Соус
Up Балтика №0 БезПивоное Грейпфрут,Напитки
"Up Фрустайл Лимон Лайм большой 0,8",Напитки
Up Латте на Миндальной основе (СТАНД.),Напитки
Кола XL 1л,Напитки
"1RUB.Миринда в бутылке 0,5л",Напитки
"1RUB.Лимонад стандарт 0,5",Напитки
"Up Шоколадный Шейк 0,5",Напитки
Up МИКС МАСТЕР «Сметана и Лук» Фри L,Закуски
"Пепси Черри в бутылке 0,5л",Напитки
"lim.Кола без сахара джун 0,3л",Напитки
Up Острые Луковые Кольца 3 Шт,Закуски
Up МИКС МАСТЕР «Перчик Чили» Фри L,Закуски
Т.Ангус Пармеджано Двойной,Бургер
Up Капучино на Миндальной основе (МАЛ.),Напитки
Up Креветки (6 шт.),Закуски
Острый Гранд Чиз Двойной,Бургер
"lim.Кола без сахара большой 0,8",Напитки
Up МИКС МАСТЕР «Перчик Чили» Фри S,Закуски
Т3.Острый Ангус Шеф Двойной,Бургер
Up Латте (БОЛ.) за 1руб,Напитки
Up Эвервесс Лемон-Лайм б/л  XL 1л,Напитки
"Севен Ап стандарт 0,5",Напитки
Острый Двойной Воппер,Бургер
Т3.Up Острый Ангус Шеф Двойной,Бургер
"Up Дюшес б/л большой 0,8",Напитки
Миндальный Капучино (БОЛ.),Напитки
"Пепси Макс джун 0,3л",Напитки
Острый Чеддер Начос Кинг Двойной,Бургер
Up Эвервесс Лемон-Лайм XL 1л,Напитки
Острый Двойной Воппер С Сыром,Бургер
"Up Клубничный Шейк 0,5",Напитки
Т.Острый Ангус Пармеджано,Бургер
Up Капучино Карамель (БОЛ.) за 1руб,Напитки
SALE.Соус Сальса,Соус
Т3.Острый Ангус Пармеджано Двойной,Бургер
Up Эвервесс Блэк Роял XL 1л,Напитки
Up Лимонад б/л XL 1л,Напитки
"Пепси Макс  мал 0,4",Напитки
Сбер.Латте (СТАНД.) за 1руб,Напитки
1RUB.Ангус 4 Сыра,Бургер
Шримп Воппер,Бургер
"Up Шоколадный Шейк 0,3",Напитки
"Пепси Макс большой 0,8",Напитки
Up Кола б/л XL 1л,Напитки
Up Латте Карамель (БОЛ.) за 1руб,Напитки
"Up Пепси Макс мал 0,4",Напитки
Острый Барбекю Бекон Гамбургер,Бургер
Up Липтон Грин б/л  XL 1л,Напитки
Пепси Макс XL 1л,Напитки
Up МИКС МАСТЕР «Перчик Чили» Деревенский L,Закуски
Воппер Джуниор Сыр-Бекон new,Бургер
Up Острые Стрипсы 6 Шт,Закуски
Т3.1RUB.АНГУС Шеф new,Бургер
